repl,bench,cycles,instrs,ipc,l1i_misses,l1i_mpki,l1d_misses,l1d_mpki,l2_misses,l2_mpki,l3_misses,l3_mpki
CARE,blackscholes,3181658730,4062699954,1.2769125474371665,954,0.00023481921155923,4086368,1.005825693816423,411809,0.10136338018133643,29450,0.007248873983668054
CARE,bodytrack,3045457670,5000028930,1.6417988597424833,6175289,1.235050653996916,49754254,9.950793224710402,4069601,0.8139154906849708,242252,0.0484501196676076
CARE,bzip2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CARE,cactusADM,121077601,100006053,0.8259665881553104,53962,0.5395873387783837,943597,9.435398875306078,884187,8.841334834002499,853063,8.530113672219422
CARE,calculix,50451012,100009419,1.9823074906802662,461,0.004609565824994944,44691,0.4468679095116031,6373,0.06372399783664377,5904,0.05903443954613915
CARE,canneal,6781315217,1721896028,0.25391770960349974,3621351,2.103118272597583,40002783,23.231822566234527,42560263,24.71709226801236,28617220,16.61959812593284
CARE,fluidanimate,4094657239,5000018942,1.2211080562194037,264077,0.052815199914896645,8450646,1.6901227971387953,8053499,1.6106936980479942,6548244,1.3096438385452822
CARE,gcc,258610854,100003095,0.3866933404117679,801166,8.011412046797153,2981556,29.814637236977514,2824327,28.24239589784696,2386399,23.863251432368166
CARE,hmmer,80066085,100001365,1.2489853225619811,2159,0.02158970530052265,582040,5.820320552624457,399947,3.9994154079796815,239362,2.393587327532979
CARE,lbm,184964523,100001897,0.5406544745880809,655,0.006549875748857044,5056907,50.56811072293958,4783304,47.832132624444114,4695300,46.95210931848623
CARE,leslie3d,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CARE,libquantum,190854440,100000587,0.5239625915959828,2432,0.024319857242437987,2505346,25.053312937053057,2507778,25.077632794295496,2408270,24.08255863538081
CARE,mcf,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CARE,milc,215181156,100004613,0.46474614626570737,15359,0.15358291522012088,2155545,21.554455692958886,2170800,21.706998656151992,2147622,21.475229347670194
CARE,namd,53730718,100005491,1.8612349643271098,3066,0.03065831655183814,41633,0.416307140574911,28404,0.2840244042199643,26968,0.26966519268426975
CARE,sjeng,87771769,100008314,1.139413220667798,77734,0.7772753773251292,137744,1.3773254891588314,50026,0.5002184118412395,46301,0.4629715085487793
CARE,soplex,342664583,100001624,0.2918353076483542,62813,0.6281197993344587,4250590,42.50520971539422,3853615,38.53552418308727,3358898,33.58843452382333
CARE,streamcluster,4195805619,5000027076,1.1916727155705733,678873,0.13577386475736758,77321179,15.464152058523773,77731257,15.5461672143953,7520660,1.504123854868501
CARE,swaptions,3213922750,5000008767,1.5557339600026168,363664,0.0727326724705321,19543779,3.9087489463995975,18354,0.0036707935636305653,11220,0.002243996065377299
CARE,x264,4724973919,5000013779,1.0582098154857562,40154676,8.030913068409767,46712761,9.342526453865599,36297711,7.259522194208737,24127017,4.825390102189957
CARE,xalan,95348081,100003218,1.0488225557470843,440388,4.403738287701902,1320422,13.203795101873622,599301,5.992817151144076,402033,4.020200629943728
LFU,blackscholes,3181472365,4062699926,1.2769873379051022,955,0.0002350653549104872,4085632,1.0056445404331347,410953,0.10115268355657532,29449,0.0072486278918941745
LFU,bodytrack,3030733798,5000089740,1.6497950903175957,6113209,1.222619856418817,49533774,9.906576996756062,3205561,0.6411006935247526,212436,0.04248643745342059
LFU,bzip2,114658248,100008437,0.8722306397006868,162,0.001619863332130668,3028258,30.28002527426761,1968513,19.68346930569468,272472,2.7244901347673296
LFU,cactusADM,94099173,100006333,1.0627758970846641,267,0.002669830919607861,757641,7.575930216339399,500549,5.005173022392492,477162,4.771317832441672
LFU,calculix,50519436,100007833,1.9795912408840035,457,0.004569642059937445,38875,0.38871955159752336,6243,0.06242511024111481,5890,0.05889538672435789
LFU,canneal,5818511267,1721976332,0.2959479243026101,3570,0.0020731992267591748,37978326,22.055080139161866,36432129,21.157160132210226,20406837,11.85082316218502
LFU,fluidanimate,3747120254,5000019572,1.334363253130867,2257,0.0004513982330467566,7138586,1.4277116113656685,6044837,1.2089626676365337,4388735,0.8777435641605924
LFU,gcc,141323632,100010159,0.7076676249022528,703358,7.032865531190686,3059916,30.59605174710301,1755577,17.553986690492113,336163,3.361288526698573
LFU,hmmer,67836221,100014034,1.4743456007079168,1886,0.01885735355900153,535344,5.352688803653296,320172,3.2012707336652375,131673,1.316545236041574
LFU,lbm,173926753,100000449,0.5749572580130902,120,0.001199994612024192,5094665,50.946421250568584,3096325,30.96311097563172,3096206,30.961920980974796
LFU,leslie3d,217226900,100008065,0.46038526996426316,1002,0.010019191952169057,3351445,33.51174727758206,2620684,26.204726588800614,2381433,23.812409529171475
LFU,libquantum,195518803,100004507,0.511482811195402,39,0.0003899824234921732,2504629,25.04516121458406,2504668,25.04555119700755,2504668,25.04555119700755
LFU,mcf,774256993,100000124,0.12915624257074032,47,0.00046999941720072267,12718189,127.18173229465197,10207508,102.07495342705775,7720561,77.20551426516231
LFU,milc,152495164,100000838,0.6557639952438098,78,0.0007799934636547745,1494628,14.946154751223183,1494446,14.944334766474656,1494367,14.943544773094802
LFU,namd,55404525,100013594,1.8051520882094017,2296,0.022956879241835863,52121,0.5211391563430867,38502,0.38496766749528066,37163,0.3715794874844714
LFU,sjeng,86506521,100010727,1.156106220015483,73022,0.7301416777022329,120903,1.2089003212625382,40410,0.40405665684242054,36195,0.36191117778795867
LFU,soplex,266374995,100000739,0.37541338668068297,1914,0.019139858556445268,4046602,40.46572095832212,3346165,33.46140272023389,2176412,21.763959164341777
LFU,streamcluster,5684872265,5000008693,0.8795287668613958,3100,0.0006199989220698741,74476522,14.895278503068795,74220330,14.844040192151724,18484041,3.696801772740438
LFU,swaptions,3213891433,5000021505,1.555753082901354,363676,0.0727348871672503,19543800,3.9087431884955466,18364,0.003672784203355141,11220,0.0022439903485975106
LFU,x264,3085560877,5000079080,1.620476561415774,38257481,7.6513751858500605,42129836,8.425833937010452,16610555,3.3220584583234234,3936723,0.7873321475547543
LFU,xalan,70679703,100002259,1.4148652973258815,436212,4.362021461935175,1670456,16.704182652513882,395465,3.9545606664745443,200147,2.001424787814043
LRU,blackscholes,3181471280,4062699933,1.2769877756055055,955,0.0002350653545054714,4085621,1.0056418311413597,410942,0.10114997582323292,29449,0.0072486278794048455
LRU,bodytrack,3031656259,5000055178,1.649281696484047,6110606,1.222107713308119,49532719,9.906434476551691,3238900,0.6477728514379206,226208,0.0452411007373087
LRU,bzip2,117867688,100024226,0.8486144735442677,162,0.0016196076338546223,3027917,30.271836344927078,1969219,19.68742052550349,300847,3.007741344581862
LRU,cactusADM,94370173,100001676,1.0596746071452046,267,0.002669955251549984,757602,7.5758930280328505,500523,5.005146113751134,480614,4.806059450443611
LRU,calculix,50519436,100007833,1.9795912408840035,457,0.004569642059937445,38875,0.38871955159752336,6243,0.06242511024111481,5890,0.05889538672435789
LRU,canneal,5972532085,1721977071,0.2883160854547339,3566,0.002070875425727431,37978100,22.054939429562243,36432421,21.157320624973643,22793618,13.236888216382063
LRU,fluidanimate,3758372601,5000062332,1.330379625125412,2262,0.00045239436027094714,7138374,1.427657002256747,6044955,1.208975928422486,4490908,0.8981704030484875
LRU,gcc,140207146,100010167,0.7133029225200832,703464,7.033924860859396,3059916,30.596049299667705,1755699,17.55520516229115,328694,3.286605850783151
LRU,hmmer,69040250,100007521,1.4485393810132494,1906,0.01905856660520562,535317,5.352767418362465,319931,3.199069397990577,144369,1.443581428240782
LRU,lbm,173926753,100000449,0.5749572580130902,120,0.001199994612024192,5094665,50.946421250568584,3096325,30.96311097563172,3096206,30.961920980974796
LRU,leslie3d,217213904,100004319,0.4603955693370347,1002,0.010019567254890262,3351358,33.51213261099254,2620631,26.205178198353615,2381741,23.81638137048861
LRU,libquantum,195518803,100004507,0.511482811195402,39,0.0003899824234921732,2504629,25.04516121458406,2504668,25.04555119700755,2504668,25.04555119700755
LRU,mcf,799605252,100001081,0.1250630617418706,47,0.0004699949193549218,12718315,127.18177516501048,10210719,102.10608623320782,8090429,80.90341543407915
LRU,milc,152494549,100000838,0.6557666398947808,78,0.0007799934636547745,1494628,14.946154751223183,1494446,14.944334766474656,1494367,14.943544773094802
LRU,namd,55402810,100017467,1.8052778730898307,2296,0.022955990277178286,52122,0.5211289744020412,38477,0.38470280396123213,37164,0.3715750969778109
LRU,sjeng,86507231,100009245,1.1560795998660505,73021,0.7301424983260297,120903,1.2089182355091272,40410,0.4040626444085244,36204,0.36200653249607073
LRU,soplex,270172288,100002303,0.37014271056548925,1916,0.019159558755361863,4046667,40.465738074052155,3346261,33.461839373839226,2239442,22.3939042683847
LRU,streamcluster,7963235498,5000057564,0.6278927158760764,3174,0.0006347926917586983,73421837,14.684198343761308,73169983,14.633828123663577,39090488,7.818007592842185
LRU,swaptions,3213911106,5000021697,1.5557436195623264,363676,0.07273488437424275,19543787,3.908740438411742,18350,0.003669984074471107,11220,0.002243990262428655
LRU,x264,3064966898,5000037617,1.6313512619867778,38251282,7.650198844494013,42128292,8.425595010878496,16881990,3.3763725981983947,3430806,0.6861560377736654
LRU,xalan,71278475,100010515,1.4030956049494605,436303,4.362571275630367,1670460,16.70284369598537,395476,3.9543442007072955,209034,2.0901202238584613
Rand,blackscholes,3181776461,4062699926,1.2768652907574578,1060,0.00026091023686399624,4086096,1.0057587501971958,398897,0.0981851988248467,32128,0.007908041594307993
Rand,bodytrack,3040560342,5000000980,1.6444340574116454,6134925,1.226984759510987,49664036,9.93280525317017,3385397,0.6770792672924636,210555,0.04211099174624562
Rand,bzip2,127072208,100010312,0.7870352894159202,774,0.007739201933496619,3028476,30.28163735755569,1964198,19.63995472786846,419238,4.191947726350459
Rand,cactusADM,94280277,100007302,1.060744677277518,2131,0.021308444057414926,758605,7.5854961070742615,510469,5.104317282752014,476854,4.768191826632819
Rand,calculix,50585443,100017260,1.9771945063325826,549,0.005489052589523048,38942,0.3893527977071157,6611,0.06609859138312728,6284,0.0628291556877283
Rand,canneal,6115539107,1721964727,0.2815720244563551,155050,0.09004249481354214,38050131,22.096928237485322,36644558,21.280667034244075,24491478,14.22298471970965
Rand,fluidanimate,3773808311,5000024005,1.3249279223922934,16012,0.003202384625351414,7152799,1.430552931915374,6029137,1.2058216108504463,4464648,0.892925313065572
Rand,gcc,145144083,100011097,0.6890470140625712,704692,7.046138090056146,3060622,30.602824004620206,1754163,17.539683621308544,364558,3.6451754948753337
Rand,hmmer,68666839,100015213,1.456528572692854,2670,0.026695938746838444,537888,5.378061835452972,324661,3.2461161683473096,135994,1.359733143796834
Rand,lbm,173388770,100001848,0.5767492785144044,3141,0.03140941955392665,5096053,50.95958826680883,3201021,32.00961846225082,3129347,31.29289170736125
Rand,leslie3d,220195892,100003614,0.45415749173013636,3018,0.03017890933421666,3353187,33.53065820201258,2631574,26.314788983526135,2396755,23.96668384404588
Rand,libquantum,197331212,100004790,0.5067864783600478,377,0.0037698194256495115,2504793,25.046730261620468,2505170,25.050500081046117,2505170,25.050500081046117
Rand,mcf,802632830,100000577,0.1245906886215955,7133,0.07132958842827476,12720108,127.20034605400326,10268060,102.68000753635651,8355545,83.55496788783529
Rand,milc,152372095,100006887,0.6563333463387768,563,0.005629612288601684,1495105,14.950020392095597,1495413,14.953100179990605,1495045,14.94942043341475
Rand,namd,55678517,100008395,1.796175623714978,2597,0.025967820001510874,52192,0.521876188493976,40055,0.40051637665018025,38921,0.38917732856326714
Rand,sjeng,86806281,100000803,1.1519996231609093,73609,0.7360840892447634,121241,1.2124002644258767,42130,0.42129661698816556,38531,0.3853069059855449
Rand,soplex,280710679,100002985,0.35624930749428313,4856,0.048558550527266764,4048341,40.482201606282054,3329442,33.29342619122819,2349391,23.493208727719477
Rand,streamcluster,4457614235,5000037263,1.1216846051282408,84812,0.016962273586959866,76871764,15.374238221952227,76678058,15.335497310672743,8507303,1.701447919789233
Rand,swaptions,3214005379,5000063666,1.5557110447511793,363895,0.07277807330223703,19544056,3.9087614289589725,19501,0.003900150338605709,11584,0.002316770500097868
Rand,x264,3193783968,5000010299,1.5655443039032753,38294491,7.658882424233982,42160098,8.432002231761803,17571298,3.514252361342986,4654032,0.9308044827289266
Rand,xalan,74592333,100009967,1.3407539753448923,438204,4.381603285600525,1688099,16.87930763940758,404604,4.045636771382997,226701,2.26678406963178
SRRIP,blackscholes,3181501818,4062699926,1.2769755160957132,955,0.0002350653549104872,4086108,1.0057617038979905,413751,0.10184138812520312,29449,0.0072486278918941745
SRRIP,bodytrack,3033424589,5000003577,1.648303239556815,6139791,1.2279573215193322,49519723,9.903937514723102,3506251,0.7012496983259657,145570,0.0291139791718593
SRRIP,bzip2,115047445,100024625,0.8694206551045093,1053,0.01052740762587213,3028369,30.276234477259973,1960621,19.601383159397,263193,2.6312820467959765
SRRIP,cactusADM,93339266,100009940,1.071466964396313,1973,0.019728039032920128,757641,7.575656979696218,503098,5.030479970290953,471069,4.710221803952687
SRRIP,calculix,50449994,100010390,1.9823667372487694,458,0.004579524187436926,44692,0.44687356983609405,6337,0.06336341654102139,5902,0.0590138684590671
SRRIP,canneal,5823333294,1721977280,0.29570302661093056,82010,0.047625483188721285,38030478,22.08535411106005,36496216,21.194365584196326,20526856,11.92051500238145
SRRIP,fluidanimate,3752229145,5000039978,1.3325518737742228,9977,0.001995384045707324,7135569,1.427102389460135,5983511,1.1966926317243938,4403371,0.8806671585376672
SRRIP,gcc,134322506,100007655,0.7445338683600796,706879,7.06824892554475,3052579,30.52345342963996,1743270,17.431365628961103,294219,2.941964792595127
SRRIP,hmmer,69408957,100002757,1.440775964981004,3299,0.03298909049077517,523985,5.2397055413182265,321645,3.216361324918272,158782,1.5877762250094765
SRRIP,lbm,174208940,100001963,0.5740346218741702,3117,0.031169388144910715,5095232,50.951319825591824,3098531,30.984701770304248,3098397,30.983361796607934
SRRIP,leslie3d,217760545,100004745,0.45924180158531475,3141,0.03140850966621633,3360777,33.60617538697789,2625124,26.249994437763927,2387649,23.875357114304926
SRRIP,libquantum,195673910,100002947,0.5110693960170776,359,0.0035898942058177545,2504754,25.04680187074887,2505113,25.05039176495469,2505113,25.05039176495469
SRRIP,mcf,771596804,100000482,0.1296019909382621,6994,0.06993966289082487,12721895,127.2183368076166,10217303,102.17253752836912,7677399,76.77361995115184
SRRIP,milc,152611853,100001135,0.6552645357107354,573,0.0057299349652381445,1494947,14.949300325441307,1495260,14.95243028991621,1495192,14.951750297634122
SRRIP,namd,53727470,100019461,1.8616074979893897,3084,0.030833999395377665,41610,0.41601903853491073,28256,0.2825050216977274,26917,0.2691176270186059
SRRIP,sjeng,86617773,100010977,1.1546242016635546,73440,0.734319393760147,135552,1.3553712209010818,40975,0.4097050266792214,36903,0.36898949602302156
SRRIP,soplex,269010818,100001191,0.3717366897862078,4552,0.04551945786325685,4188147,41.88097119763304,3380170,33.801297426547656,2123153,21.231277135489318
SRRIP,streamcluster,4572492414,5000048154,1.0935060578101596,191825,0.03836463051791641,75500557,15.099965975247686,75406003,15.081055357372064,9679153,1.9358119565822085
SRRIP,swaptions,3214016499,5000105878,1.5557187959538226,363661,0.07273065988463856,19524697,3.9048567123162026,18353,0.0036705222744885246,11218,0.0022435524914298627
SRRIP,x264,3061270147,5000066062,1.633330552973246,38260983,7.652095497453449,42107528,8.421394333169513,16442547,3.288465951472463,3302439,0.6604790734862895
SRRIP,xalan,66572308,100001427,1.5021475145491425,292235,2.922308298660578,1588509,15.884863323000383,298247,2.9824274407604205,153299,1.5329681245448628
